y	x1	x2	x3	x4	x5	x6	x7	x8
108.436	31.528	21.478	10.356	17.416	12.815	23.945	13.714	15.336
109.713	13.051	26.380	17.658	23.598	21.809	17.006	15.835	23.577
72.812	4.826	37.594	12.917	12.570	24.283	21.360	17.967	21.326
100.442	12.700	21.578	12.702	14.914	10.222	15.277	13.479	13.748
117.415	12.452	34.331	16.868	12.596	23.889	15.242	19.346	12.935
116.648	15.062	29.184	20.451	2.787	48.892	22.017	13.505	11.361
106.817	17.388	24.199	11.754	9.590	28.157	23.285	14.211	21.434
109.776	24.129	29.408	11.221	13.240	19.386	23.156	20.590	12.245
97.469	30.409	22.995	1.709	6.631	11.000	18.916	17.243	20.770
50.942	4.874	22.171	3.842	21.906	45.124	17.377	16.698	20.063
75.828	4.780	31.321	19.980	19.377	21.502	16.598	17.408	18.627
124.054	30.366	29.181	16.905	13.506	42.060	18.166	16.027	15.082
114.144	19.390	39.393	7.798	1.315	13.479	26.580	15.377	20.132
107.071	23.850	20.392	15.707	12.851	30.938	23.401	15.625	17.400
114.477	17.444	31.116	14.647	9.127	13.590	18.059	16.795	15.961
113.554	20.074	35.459	7.699	18.429	12.250	25.319	20.512	18.524
63.482	4.836	25.663	18.039	19.656	6.696	19.102	14.756	14.851
55.929	5.739	23.666	3.593	7.756	6.614	16.360	15.366	14.084
50.084	2.900	32.431	2.551	15.544	5.981	18.524	10.507	22.971
105.649	18.778	24.723	12.026	19.847	10.745	23.522	13.935	23.728
76.819	6.353	38.041	7.035	9.850	17.659	16.411	13.284	21.658
108.061	24.545	23.099	12.058	7.261	19.937	14.721	17.358	18.259
58.847	4.287	35.212	2.085	7.228	19.279	20.655	20.376	14.074
59.080	2.652	36.262	5.557	18.053	17.032	21.860	16.914	17.383
92.757	10.637	32.113	6.330	12.766	12.459	14.347	12.972	13.367
114.889	25.620	23.589	18.394	1.217	52.120	15.962	12.943	16.225
57.698	3.520	32.264	8.068	13.857	16.597	18.500	19.503	17.396
73.580	7.842	27.546	4.723	11.606	7.607	22.343	13.734	14.689
70.041	8.418	22.072	9.836	18.141	40.838	15.183	15.080	13.348
117.667	20.529	29.319	17.418	8.235	18.537	23.536	16.406	15.874
98.194	9.522	35.687	13.839	20.147	23.607	16.481	20.395	14.828
109.547	27.735	35.550	0.206	7.003	14.149	21.868	11.034	13.989
53.038	4.227	23.522	6.691	24.101	11.703	18.908	18.261	19.597
130.427	29.916	38.654	18.716	21.609	13.284	26.310	18.968	19.390
115.214	21.995	31.574	12.540	20.829	13.097	16.535	11.721	17.240
92.235	9.361	36.280	7.767	21.827	17.905	15.503	14.145	14.177
91.732	16.889	24.258	0.442	22.682	69.602	22.793	14.070	21.917
86.154	6.612	39.263	14.041	15.042	17.169	19.562	19.556	21.406
80.194	6.039	40.131	9.835	16.396	8.990	27.550	12.744	13.717
123.114	14.102	37.915	19.905	6.912	13.900	22.565	13.317	15.034
59.350	3.345	36.884	5.415	20.119	26.700	22.122	12.880	12.385
117.855	19.196	38.414	10.121	18.027	20.388	16.194	15.135	18.310
99.245	17.228	24.792	2.151	16.158	40.180	18.508	19.263	21.528
89.088	11.062	21.580	10.249	12.855	27.752	19.069	16.000	11.566
65.537	5.531	36.679	2.335	7.888	13.207	24.450	16.382	17.527
93.818	25.526	20.198	1.383	15.752	40.208	22.770	19.272	17.955
113.167	31.545	23.662	14.712	9.964	60.168	19.839	16.434	11.054
102.713	9.418	38.581	16.829	16.618	32.718	25.433	14.606	22.524
114.449	13.833	34.317	13.736	24.749	12.148	17.863	16.517	19.497
88.281	8.018	40.471	8.484	22.338	18.353	22.286	11.378	21.959
102.302	25.627	28.794	0.898	18.683	48.521	20.191	20.127	23.375
103.687	12.326	38.687	3.049	21.400	14.374	24.054	20.486	13.283
116.585	29.855	22.158	20.416	17.750	12.704	21.160	17.614	19.515
63.074	6.863	27.118	1.495	13.686	11.779	14.837	17.182	21.414
101.068	16.350	25.078	8.400	17.866	46.978	21.560	14.246	20.999
103.411	18.564	27.867	7.570	17.722	11.538	15.216	16.932	15.738
117.758	32.110	38.911	2.582	20.468	31.986	16.922	16.458	22.030
137.263	30.400	38.544	19.694	6.132	19.461	24.656	22.608	16.132
92.448	8.437	38.489	13.905	19.590	19.425	26.591	16.650	21.369
127.416	32.676	36.919	14.552	4.186	16.320	23.146	20.207	12.718
98.252	22.253	24.561	2.175	18.592	10.235	16.479	17.378	21.839
112.492	26.775	32.283	7.427	3.168	19.428	17.130	18.889	10.555
63.919	2.361	40.512	12.093	5.605	21.321	19.039	18.371	18.657
48.238	3.215	27.505	1.230	4.551	8.004	17.136	19.230	10.783
103.320	33.276	21.701	5.694	2.789	16.521	20.143	13.895	16.550
112.796	30.147	20.403	16.981	21.972	73.780	22.541	23.343	19.004
65.479	5.272	32.039	4.317	16.491	22.386	23.419	13.630	21.602
108.496	18.447	27.506	10.981	24.376	10.872	15.324	13.573	17.957
118.525	26.438	25.882	20.419	20.609	13.231	18.111	22.525	22.083
104.872	21.453	33.218	2.072	12.382	38.340	16.824	12.276	15.346
71.087	3.776	37.690	18.050	11.224	10.097	18.278	12.497	13.293
50.940	2.966	33.355	3.077	2.573	40.069	14.474	10.447	20.510
106.789	11.567	26.083	20.649	9.460	14.872	23.110	13.667	12.352
65.014	1.602	38.667	18.787	16.197	36.494	14.198	12.249	19.851
129.713	29.092	36.642	19.122	13.732	13.070	18.628	14.117	19.708
59.025	6.032	24.815	3.997	4.457	6.394	24.123	10.559	13.793
95.378	19.114	21.900	6.034	12.742	12.756	22.930	14.818	17.374
104.470	27.524	25.680	5.651	15.741	14.940	23.236	16.879	17.754
110.394	29.116	31.368	1.925	18.834	50.092	18.193	17.295	18.934
113.863	32.993	30.634	6.597	14.011	20.806	14.179	12.761	16.679
98.912	30.845	21.064	2.462	7.156	12.303	15.530	14.293	21.071
118.505	17.733	36.406	13.158	18.902	34.165	21.666	12.457	20.976
34.625	1.945	22.129	6.874	5.163	46.106	23.934	14.876	20.920
94.574	10.309	35.725	7.554	19.065	26.079	20.679	17.412	21.453
107.719	21.124	31.651	5.962	14.308	31.509	21.220	18.596	19.160
80.769	7.680	38.423	0.786	23.121	63.573	22.643	11.108	16.348
123.640	33.819	32.928	13.794	4.101	20.607	24.543	19.530	13.544
126.915	34.345	35.870	14.703	6.231	12.964	24.835	18.108	11.659
79.561	7.977	27.820	8.739	7.618	18.926	17.033	11.198	11.395
101.753	19.681	22.425	10.638	15.591	12.947	21.190	18.360	12.865
86.484	6.591	38.638	15.003	9.181	8.655	25.702	18.905	14.820
46.854	2.862	34.671	1.057	6.463	9.507	14.087	12.203	17.939
121.408	24.029	32.670	17.890	6.601	13.017	19.877	15.661	14.761
95.129	10.748	27.465	5.670	8.914	45.150	22.453	16.693	18.139
118.777	29.729	39.663	3.427	5.973	47.841	16.717	16.462	21.122
68.790	7.828	26.862	2.897	5.311	9.490	13.342	19.318	11.794
131.421	30.640	39.509	17.464	16.403	23.146	24.725	14.186	15.774
115.693	25.212	40.930	3.689	18.531	41.035	20.805	20.513	19.074
109.855	20.515	22.717	17.297	10.905	32.638	19.663	15.793	17.740
104.318	25.514	29.889	0.997	19.166	11.026	18.792	14.124	20.184
124.896	29.153	33.002	14.414	16.162	29.008	19.775	16.641	15.693
111.920	15.488	37.664	7.690	22.331	31.323	21.772	17.256	12.572
62.571	3.141	39.982	7.366	0.965	15.638	21.821	12.738	13.097
119.133	21.668	37.025	9.684	4.957	14.136	23.527	17.984	13.882
105.324	31.818	22.947	3.917	11.384	30.370	22.791	10.425	11.678
117.017	30.914	29.820	12.733	7.554	24.963	14.650	16.289	18.327
128.393	30.249	35.868	20.509	20.713	13.536	24.715	22.075	17.869
112.800	26.367	28.391	9.427	18.765	29.951	17.522	12.662	13.978
99.495	12.235	28.489	7.514	3.260	41.251	17.943	16.307	14.464
73.638	5.879	29.291	13.647	16.420	7.480	20.391	15.403	19.703
114.883	28.599	37.611	5.215	21.014	37.309	25.341	17.804	17.855
97.866	8.657	39.780	11.402	12.423	17.298	22.584	18.443	12.648
94.872	6.961	40.168	19.469	3.008	16.415	22.035	16.019	19.396
113.321	30.133	24.615	13.078	17.465	14.372	15.595	12.110	20.857
117.314	27.899	38.643	4.828	13.579	14.960	14.308	13.499	12.697
92.439	8.390	32.189	19.166	8.694	39.876	17.898	12.125	13.259
106.924	15.374	35.074	4.411	18.209	18.436	23.770	14.873	13.451
101.073	20.979	23.335	7.667	14.165	45.595	22.423	10.956	19.686
85.736	5.467	39.964	18.126	7.410	36.229	20.897	19.134	13.219
86.496	8.818	39.154	3.361	14.603	16.593	26.771	20.579	17.722
103.071	15.458	30.725	1.935	23.127	39.422	21.277	20.196	22.557
113.091	31.139	28.518	10.875	9.153	22.016	15.743	17.416	20.062
108.137	20.649	31.016	6.779	9.382	33.183	21.484	14.927	21.862
123.910	24.768	34.735	18.327	20.550	39.427	14.654	18.454	22.463
122.486	22.106	33.513	20.779	14.269	17.196	14.914	16.276	19.523
110.179	20.734	26.640	13.133	16.842	24.365	19.933	18.154	13.186
106.962	25.387	32.451	2.126	3.664	21.301	14.132	11.357	17.461
97.128	24.807	21.472	5.718	16.670	17.007	22.178	21.022	22.885
115.002	17.105	36.872	9.596	17.613	36.463	22.014	20.531	15.597
68.879	4.708	37.851	8.057	5.876	8.051	23.040	13.582	13.958
110.153	20.320	22.918	17.169	18.773	20.197	16.337	18.780	15.835
117.990	23.781	35.323	10.105	20.647	20.259	16.710	12.641	22.817
113.859	15.609	37.128	10.227	17.530	62.161	26.245	15.694	17.023
130.744	30.069	40.350	15.276	18.771	14.291	18.350	13.293	21.573
116.159	24.531	26.848	15.906	10.234	16.835	15.232	19.874	20.969
109.122	27.647	31.581	0.270	20.007	11.341	16.433	17.030	17.279
101.337	17.690	24.598	10.934	4.717	45.945	20.002	11.294	13.565
69.314	7.867	22.087	11.060	11.177	8.977	17.550	15.186	21.984
81.919	11.225	21.709	2.814	2.509	25.132	23.312	13.323	11.282
111.627	26.298	33.833	4.157	9.230	57.657	16.935	16.773	17.477
51.538	1.165	32.471	13.313	13.235	8.632	14.817	12.157	20.270
102.669	26.413	27.324	6.370	23.018	48.179	24.172	11.856	16.026
73.071	7.477	36.713	1.261	10.789	16.428	19.681	20.198	17.956
113.035	31.262	25.830	11.297	12.312	27.320	20.435	14.588	14.754
116.532	14.209	33.409	15.926	0.019	27.618	21.830	19.606	15.002
107.048	13.030	26.809	15.307	14.497	24.313	23.291	17.018	12.075
85.197	9.193	32.798	7.860	20.037	32.418	20.577	17.039	16.807
100.388	12.823	29.626	2.894	3.344	14.976	19.680	13.352	18.464
110.314	14.440	34.838	7.434	8.186	50.585	21.704	16.190	18.821
81.622	7.159	34.070	12.805	12.764	45.740	25.768	20.437	17.987
69.425	4.893	38.328	9.262	10.460	11.454	20.765	13.770	15.785
84.501	8.605	28.066	13.184	22.220	29.359	23.424	11.644	14.602
104.553	21.072	20.404	14.974	13.894	53.451	12.124	20.373	21.411
75.102	8.058	26.640	8.187	5.463	19.501	21.285	17.635	15.843
105.261	13.218	23.222	15.118	17.314	10.607	18.725	12.420	19.691
100.024	21.689	23.927	5.099	6.143	10.808	18.600	16.527	11.076
125.000	27.249	39.788	12.528	12.485	13.259	23.125	21.759	11.625
124.465	26.899	31.216	20.741	2.378	29.889	17.212	16.730	10.432
122.255	14.392	36.118	18.987	10.806	35.206	22.847	12.976	21.529
124.717	11.371	39.353	20.973	9.633	13.888	22.584	20.142	13.437
68.036	2.794	37.742	17.514	12.507	8.691	25.778	17.236	16.418
106.815	19.158	36.530	1.291	16.913	25.608	22.397	17.241	16.341
96.206	16.678	28.563	0.429	19.881	29.514	17.094	16.046	13.324
114.938	18.221	32.658	9.516	20.363	14.111	20.716	12.113	19.882
124.960	14.291	35.680	20.631	5.256	17.839	20.971	18.495	14.854
105.928	18.099	39.155	0.860	7.675	13.988	21.199	19.099	17.359
104.350	32.716	21.977	5.978	9.256	11.602	15.549	20.690	20.376
119.433	30.423	31.044	11.556	14.245	22.021	22.303	11.592	15.081
106.190	17.831	27.932	9.892	15.585	21.231	18.664	21.544	20.148
112.967	27.802	23.130	15.705	1.964	28.911	22.865	14.560	16.329
108.863	14.550	39.274	2.405	18.648	24.129	20.627	17.428	13.222
124.362	27.333	35.229	15.652	1.213	12.937	23.949	19.791	18.184
39.780	0.485	34.277	2.633	18.416	26.452	18.386	11.361	23.653
84.354	9.334	33.250	4.500	2.532	30.401	18.049	12.663	10.464
108.001	21.912	26.766	9.678	7.392	38.018	19.788	20.313	13.862
74.861	7.133	22.104	19.169	18.015	17.819	13.757	23.042	17.783
86.490	6.911	37.028	15.800	0.658	11.415	16.557	19.641	13.093
111.711	15.114	38.754	4.260	8.035	19.247	22.212	13.627	12.926
113.246	25.253	30.331	10.254	10.029	56.430	23.204	19.218	14.649
118.028	21.777	36.138	11.784	9.993	12.408	23.015	17.828	21.931
127.021	31.217	37.453	16.810	13.377	35.376	18.117	12.819	14.523
106.823	20.077	36.938	0.046	22.074	22.075	19.770	15.005	22.036
68.472	4.716	24.647	19.823	10.629	16.708	19.321	19.963	11.163
119.452	26.589	39.098	6.671	5.994	12.133	15.093	11.164	14.852
103.547	11.850	29.330	9.305	18.430	23.175	19.432	12.408	18.722
121.637	31.242	32.085	15.506	19.914	17.340	19.637	23.005	13.469
104.689	28.435	23.091	8.856	11.767	41.277	15.267	13.140	17.246
54.173	6.341	20.221	2.988	5.567	6.087	13.115	17.392	14.060
109.272	25.429	32.673	6.524	6.648	17.671	16.581	15.048	16.791
108.200	20.028	23.605	14.083	16.012	15.063	13.472	20.974	21.637
115.851	12.534	32.691	17.562	11.986	16.742	17.147	22.647	18.350
41.897	3.410	22.257	3.884	1.286	10.631	19.352	20.591	15.211
74.428	7.971	27.036	8.746	10.341	15.009	23.408	12.727	15.887
116.619	18.892	33.552	11.469	19.926	16.051	21.112	11.325	16.415
99.666	11.409	21.680	12.079	17.554	15.082	22.546	16.629	16.965
113.407	31.411	26.470	9.401	19.039	48.187	20.159	18.158	17.465
34.749	1.491	29.164	2.474	1.510	45.771	20.239	11.315	12.285
80.642	8.678	30.313	7.988	21.312	8.611	20.974	12.047	20.517
133.273	30.480	40.311	16.931	2.737	28.339	15.186	22.679	10.485
104.783	24.191	21.355	7.875	12.421	26.600	17.943	14.409	22.231
119.965	17.340	39.677	12.984	7.657	43.059	25.736	12.497	20.865
118.006	28.994	32.853	7.403	12.840	39.302	18.589	13.468	13.837
86.153	9.533	24.247	16.969	9.356	45.940	14.778	18.253	17.370
129.459	27.489	37.198	17.277	11.285	13.429	21.639	22.417	17.119
116.929	26.503	36.922	5.923	15.280	11.721	23.704	17.915	21.735
94.748	15.554	21.276	3.744	18.118	35.365	17.442	10.482	17.826
108.546	19.263	39.853	0.107	5.839	10.958	19.615	18.017	19.166
104.027	29.635	20.969	5.500	16.228	11.520	15.737	11.774	15.656
89.316	7.305	34.913	18.297	1.767	41.121	22.829	13.535	13.333
100.165	21.453	31.122	0.253	14.176	23.088	18.144	17.050	15.242
107.808	21.775	34.627	1.131	14.437	32.282	17.384	20.180	14.764
106.436	13.458	22.120	20.717	11.936	27.750	16.482	16.548	20.896
132.815	22.618	40.069	18.731	11.347	58.429	17.700	19.483	21.793
128.667	15.541	35.899	20.784	14.709	34.930	22.366	21.684	20.323
74.274	7.386	25.908	12.437	3.044	16.448	17.295	21.358	12.406
108.359	30.288	29.636	3.065	17.455	30.533	22.525	11.528	15.528
86.508	8.954	35.750	6.841	7.292	29.132	22.146	18.258	18.451
68.368	6.592	32.861	2.483	15.173	6.842	24.169	14.394	16.042
96.326	10.810	24.100	9.735	12.719	9.633	22.943	13.560	13.504
101.393	12.064	24.455	9.717	12.294	10.139	18.728	16.042	16.568
112.090	25.270	37.766	0.041	16.738	11.710	26.150	12.006	18.810
107.671	25.573	24.516	8.297	17.759	42.430	19.567	15.599	21.759
120.038	21.564	32.994	19.199	9.456	19.085	16.692	16.354	18.853
82.052	10.158	25.407	5.661	9.130	10.698	16.837	17.664	16.262
100.982	17.820	25.850	4.580	2.053	49.065	20.632	13.458	15.382
117.106	15.009	30.605	18.586	12.964	30.447	14.905	21.635	18.653
106.599	12.260	26.496	19.534	16.285	13.712	25.140	17.374	13.645
115.358	26.387	34.740	10.127	1.079	16.198	23.002	14.607	15.159
108.771	23.234	34.011	1.145	8.572	28.239	20.275	18.120	20.506
71.514	5.535	36.010	7.455	4.941	17.955	20.100	12.482	12.595
97.908	23.034	21.914	0.741	21.419	15.559	14.773	16.117	22.520
116.044	19.708	32.252	15.009	9.295	12.048	21.053	17.915	16.714
120.458	15.574	33.879	14.734	22.314	60.899	19.708	13.819	13.932
112.468	24.469	27.152	11.998	13.444	13.866	15.053	12.985	15.511
62.301	2.677	29.043	19.760	12.682	9.561	13.191	21.329	20.058
89.268	10.342	26.289	15.192	19.143	13.325	14.674	11.754	16.446
97.299	21.842	26.258	0.180	21.160	30.892	16.893	15.033	23.513
100.471	31.881	20.216	5.140	11.832	10.909	14.741	10.882	20.292
119.787	11.388	40.257	10.710	15.450	14.022	19.450	19.674	22.426
94.262	9.424	35.680	11.566	6.460	23.955	22.746	11.818	12.947
65.223	3.807	33.968	11.248	6.525	9.061	18.238	18.173	13.751
89.461	7.541	39.879	14.159	3.051	9.420	20.413	17.076	20.499
67.232	5.097	26.495	12.768	4.268	7.867	20.114	20.756	18.761
117.441	28.155	35.577	4.355	11.151	12.465	18.035	13.770	11.429
108.968	29.273	32.141	0.241	7.287	19.220	22.169	17.026	21.261
106.707	22.907	21.354	15.674	7.010	26.512	17.550	19.579	15.796
102.029	25.590	20.416	8.605	10.743	41.560	22.624	16.419	11.893
119.212	25.423	37.297	10.524	9.507	55.726	23.583	15.859	13.526
121.042	24.014	28.112	20.948	18.680	16.090	14.562	17.967	14.263
61.214	3.922	39.808	1.741	15.661	7.349	16.760	14.268	19.712
125.726	20.513	36.375	20.914	13.162	12.695	15.978	20.647	13.556
115.556	29.386	39.682	1.861	15.243	19.547	15.883	16.318	13.678
32.525	1.754	23.728	1.088	15.477	5.042	23.061	18.196	14.032
56.601	3.959	25.334	11.868	4.724	28.651	22.329	21.230	10.610
91.401	10.409	28.218	13.928	21.955	21.192	18.090	12.436	19.300
116.374	23.245	27.974	14.342	4.497	20.692	14.586	16.716	15.480
118.054	14.202	32.317	18.574	4.487	41.685	17.407	18.563	19.708
108.905	10.894	32.585	12.268	16.723	57.247	20.022	13.255	16.197
59.941	4.764	27.306	6.815	9.447	12.605	14.416	18.333	20.513
117.562	30.712	33.638	8.932	6.767	41.498	19.608	18.555	10.687
70.459	4.630	30.239	19.008	17.938	7.555	15.110	19.281	21.541
121.079	29.282	24.443	18.396	2.719	17.914	22.791	23.257	16.410
87.405	11.247	22.317	8.478	18.981	15.279	14.965	18.876	23.050
38.697	0.705	31.757	1.847	5.781	38.454	14.429	17.364	13.682
100.231	12.846	29.686	4.161	20.439	39.093	23.474	17.595	16.800
116.312	27.795	22.587	17.460	19.781	16.106	18.133	12.177	19.102
57.921	3.871	33.975	7.300	19.278	13.218	19.296	11.009	13.254
76.528	3.850	36.369	18.903	7.935	8.302	20.777	19.997	21.499
62.417	3.953	38.719	0.201	5.514	6.407	17.649	15.028	12.092
115.319	12.966	34.021	13.434	5.256	36.389	22.808	12.749	19.952
98.245	25.015	20.231	5.025	8.123	14.819	13.714	11.714	14.591
116.229	18.835	27.889	18.795	9.983	14.984	23.415	15.221	17.272
120.423	11.142	38.249	18.741	16.641	15.891	23.019	16.126	19.243
119.479	19.864	26.984	20.731	9.297	11.983	23.194	12.596	16.939
50.840	4.578	26.417	0.445	10.051	36.369	23.629	17.082	15.803
79.331	7.292	27.950	17.071	6.956	9.783	17.919	18.353	18.180
107.900	18.776	30.199	8.007	15.762	29.801	25.710	20.877	21.038
126.277	27.630	35.113	18.313	20.522	43.135	17.688	16.603	19.276
90.558	10.346	26.772	12.287	22.355	61.224	13.419	21.043	20.449
109.145	24.113	25.775	9.391	4.031	33.827	20.331	18.407	10.745
92.593	11.163	26.564	3.832	13.740	11.142	14.481	15.643	12.425
124.896	18.266	33.011	20.754	4.897	47.314	18.433	19.146	15.742
52.358	2.445	24.585	12.952	20.643	25.034	13.891	20.320	19.419
108.999	26.925	24.405	11.442	18.507	26.007	14.732	19.337	12.987
133.653	26.807	40.033	19.916	4.157	32.247	19.967	16.973	17.486
114.869	25.567	30.611	12.507	4.904	19.736	21.507	19.955	11.762
126.589	32.300	33.661	15.811	10.950	20.354	19.597	18.604	15.789
130.443	27.860	36.662	19.706	20.002	16.394	18.089	20.973	15.740
121.942	24.458	33.375	16.993	17.861	19.660	22.261	15.855	22.441
75.521	7.551	38.507	2.259	10.171	8.422	14.967	17.296	19.382
67.295	3.293	32.291	19.618	9.875	8.034	22.358	15.935	16.686
116.450	32.012	28.650	11.620	21.770	16.303	23.306	18.111	20.200
112.372	17.345	26.489	17.787	18.031	19.876	22.685	18.865	21.845
121.469	11.332	39.813	14.004	14.599	12.660	19.276	12.272	18.716
99.103	19.219	20.684	8.809	12.370	37.325	17.997	16.346	15.260
104.030	27.548	21.091	8.644	18.163	56.441	22.970	20.143	17.508
91.463	9.514	38.239	5.775	16.650	22.978	18.697	21.013	21.859
114.911	14.052	32.911	13.917	19.241	13.293	21.002	18.360	17.538
111.052	15.801	40.172	3.688	21.270	40.317	21.482	20.651	20.134
106.322	26.073	26.409	6.831	15.799	44.253	13.454	18.699	21.800
94.214	20.311	21.072	4.572	9.112	13.414	22.587	13.799	15.149
102.691	16.000	26.707	11.561	17.700	13.949	21.979	18.713	20.004
48.644	0.787	34.164	8.974	5.597	5.085	20.146	21.517	10.949
115.418	12.840	39.614	8.573	22.699	32.099	25.325	14.420	15.044
101.424	9.363	31.469	19.514	15.351	57.235	22.189	16.188	19.021
127.460	29.621	37.181	14.668	12.179	12.757	25.358	12.577	15.510
116.298	29.561	30.339	12.803	4.239	31.158	14.343	21.658	12.483
120.046	31.040	35.572	6.599	12.476	41.296	23.044	10.700	18.278
98.902	20.022	22.631	5.796	3.846	37.098	23.169	12.821	12.593
104.356	26.101	29.798	0.358	18.927	42.907	20.078	15.068	22.749
124.890	25.449	37.623	12.832	11.378	41.572	21.888	13.509	12.016
112.492	19.096	26.815	16.787	10.381	21.536	16.705	18.362	15.310
87.605	9.861	31.562	6.025	10.145	10.883	21.792	15.122	14.418
86.345	10.704	22.434	9.663	12.749	15.579	20.324	21.434	17.432
54.437	3.039	34.159	8.178	2.924	6.269	20.425	21.166	12.373
85.336	10.138	20.628	2.829	14.192	23.183	16.277	13.429	15.477
70.643	6.898	23.680	13.262	20.895	22.342	15.669	15.840	17.852
128.820	11.741	40.134	20.153	22.714	30.268	20.549	22.889	15.284
113.826	13.736	39.961	6.415	4.717	30.119	23.277	19.064	16.646
43.982	2.336	30.878	0.961	13.006	16.471	20.018	17.125	18.369
109.178	19.034	29.893	10.529	13.957	11.760	14.284	11.891	21.078
101.933	17.486	20.834	11.227	14.941	19.468	19.812	21.110	12.589
33.003	0.722	26.513	3.038	3.075	3.635	15.810	14.528	17.604
110.598	15.379	22.174	18.929	17.846	21.323	17.957	11.962	19.217
44.489	0.297	31.623	10.647	13.722	7.117	18.660	17.670	20.062
119.949	26.257	27.478	19.983	10.800	27.172	20.119	18.038	19.080
111.510	27.507	30.901	7.850	14.239	14.893	21.633	16.179	22.673
77.409	4.481	37.535	19.376	17.556	14.191	23.600	21.866	21.960
74.113	6.788	37.113	2.963	15.230	35.448	22.618	19.507	14.358
119.369	19.148	31.489	18.256	6.763	12.774	14.273	16.278	13.334
98.361	17.273	27.107	2.958	1.119	34.203	22.271	13.581	17.115
72.438	7.040	23.929	13.562	6.243	39.849	19.326	22.616	14.803
95.959	16.900	26.393	1.231	14.497	16.288	17.929	19.149	20.637
100.766	18.478	24.467	5.427	9.329	17.939	15.462	17.546	20.425
106.206	14.407	29.788	8.443	19.699	24.422	22.026	19.064	16.286
121.049	17.452	32.318	18.757	22.997	12.269	22.946	15.264	20.724
118.199	34.229	21.910	16.925	17.963	13.193	12.447	17.052	23.078
97.349	12.865	21.767	11.401	19.390	30.968	22.523	21.509	18.451
113.529	21.656	40.165	3.022	23.104	73.376	18.887	14.526	14.140
112.088	15.159	39.100	3.134	23.516	39.181	17.558	20.469	21.547
90.033	9.603	40.973	1.051	8.351	10.522	21.071	15.154	11.964
113.376	32.803	31.638	5.682	21.685	25.539	16.375	15.056	19.036
126.540	29.071	33.448	20.022	17.285	12.866	15.548	19.002	19.528
112.997	22.794	29.457	12.264	3.806	11.312	19.203	21.034	19.723
111.158	13.235	27.739	16.794	2.937	20.967	15.268	16.684	12.301
113.579	26.527	31.547	5.861	9.313	15.423	16.067	19.841	12.010
114.947	33.582	34.850	5.319	13.402	34.815	17.130	11.931	11.736
61.075	3.080	40.882	4.721	12.028	9.174	26.759	12.851	13.637
46.891	0.625	31.470	13.839	20.630	4.702	18.003	20.999	19.299
102.679	18.497	31.068	4.148	16.702	37.268	24.709	15.511	15.984
118.496	28.096	35.841	11.028	8.388	11.958	19.905	15.342	11.131
64.608	4.291	29.488	11.881	21.960	19.526	23.793	12.540	23.492
78.687	10.605	24.811	0.415	11.563	18.771	23.538	11.062	21.233
112.214	25.368	29.422	11.737	4.482	13.955	21.855	18.374	15.686
49.046	4.271	22.495	5.321	11.056	4.913	22.479	10.971	16.828
117.047	18.164	40.816	7.968	14.501	13.015	28.105	21.101	19.876
