"id","downpmt","pmttype","use","age","gender","default"
"126",200,3,1,2,"Female",1
"128",75,4,1,58,"Male",1
"129",350,1,0,41,"Female",1
"130",50,1,0,21,"Male",1
"131",75,1,0,35,"Female",1
"132",5,5,0,20,"Female",1
"133",44,3,0,41,"Female",1
"134",44,3,0,30,"Male",1
"135",20,3,0,23,"Female",1
"136",19,3,0,36,"Male",1
"137",2,3,1,35,"Male",1
"138",30,3,1,34,"Male",1
"139",25,3,1,33,"Male",1
"140",10,1,1,21,"Female",1
"141",50,1,0,55,"Male",1
"142",50,1,4,59,"Male",1
"143",50,1,0,27,"Male",1
"144",25,1,0,22,"Female",1
"145",26,1,1,26,"Male",1
"146",75,1,1,25,"Male",1
"147",150,1,0,40,"Female",1
"148",25,1,1,23,"Male",1
"149",30,1,0,24,"Male",1
"151",50,1,0,24,"Male",1
"152",250,1,0,48,"Male",1
"153",75,1,0,39,"Male",1
"154",75,1,0,30,"Female",1
"155",40,1,0,35,"Female",1
"156",150,1,0,35,"Male",1
"157",100,4,0,25,"Male",1
"158",100,3,0,32,"Male",1
"159",40,1,0,28,"Male",1
"160",50,1,6,31,"Male",1
"161",50,1,4,27,"Male",1
"162",75,1,0,22,"Male",1
"163",25,1,3,23,"Female",1
"165",25,1,3,36,"Male",1
"166",20,3,0,20,"Male",1
"167",150,3,0,25,"Female",1
"168",30,1,3,26,"Male",1
"169",26,1,0,23,"Male",1
"170",25,3,0,29,"Male",1
"171",50,3,3,21,"Female",1
"173",75,3,0,21,"Female",1
"174",150,1,0,19,"Male",1
"175",36,3,2,21,"Male",1
"176",66,1,0,3,"Male",1
"178",25,1,0,29,"Male",1
"179",25,1,0,34,"Male",1
"180",100,1,0,28,"Male",1
"181",5,1,1,25,"Male",1
"182",5,1,0,31,"Female",1
"183",39,1,0,26,"Female",1
"184",33,1,0,49,"Female",1
"187",25,1,1,22,"Male",1
"188",25,1,1,28,"Female",1
"189",25,1,NA,35,"Male",1
"190",50,1,1,30,"Male",1
"191",50,1,1,26,"Female",1
"192",25,1,1,25,"Male",1
"193",100,1,2,22,"Male",1
"194",65,1,1,21,"Female",1
"195",25,1,0,23,"Male",1
"196",75,1,NA,28,"Male",1
"197",5,1,0,33,"Female",1
"198",25,1,0,28,"Female",1
"199",50,1,0,23,"Female",1
"200",35,1,2,20,"Male",1
"201",50,1,1,28,"Male",1
"202",19,1,2,24,"Male",1
"203",35,1,0,31,"Female",1
"204",30,1,3,22,"Male",1
"205",25,1,0,30,"Female",1
"206",5,1,0,25,"Female",1
"207",150,1,0,0,"Female",1
"208",500,1,0,20,"Male",1
"209",37,1,0,23,"Female",1
"210",35,1,1,34,"Male",1
"211",37,1,0,26,"Male",1
"212",75,1,0,22,"Female",1
"213",15.98,1,0,24,"Female",1
"214",200,1,0,24,"Female",1
"215",5,1,1,22,"Female",1
"217",46,1,0,0,"Female",1
"218",50,1,0,27,"Male",1
"219",50,1,0,27,"Male",1
"220",25,1,1,27,"Male",1
"222",125,1,0,0,"Female",1
"223",25,1,0,32,"Male",1
"224",44,1,0,40,"Male",1
"225",100,1,0,23,"Female",1
"226",100,1,0,21,"Female",1
"227",150,1,0,30,"Male",1
"228",5,1,0,26,"Male",1
"229",5,1,0,36,"Male",1
"230",50,1,0,35,"Female",1
"231",50,1,0,29,"Female",1
"232",50,1,1,22,"Female",1
"233",0,1,0,33,"Male",1
"234",15,1,1,4,"Female",1
"235",25,1,0,25,"Male",1
"237",5,1,0,23,"Male",1
"238",300,1,0,39,"Male",1
"239",60,1,1,37,"Male",1
"240",35,1,0,44,"Female",1
"241",150,1,1,49,"Male",1
"242",39,1,NA,27,"Female",1
"243",50,1,0,30,"Male",1
"244",10,1,0,4,"Male",1
"246",33,1,0,40,"Female",1
"247",55,1,0,44,"Female",1
"248",51,1,0,0,"Male",1
"249",25,1,0,40,"Male",1
"250",25,1,0,27,"Male",1
"251",10,1,0,4,"Male",1
"252",100,1,0,53,"Female",1
"253",40,1,0,23,"Female",1
"255",50,1,0,31,"Female",1
"256",40,1,0,29,"Male",1
"257",175,1,0,24,"Male",1
"258",88,1,0,27,"Female",1
"259",44,1,0,22,"Male",1
"260",10,1,0,18,"Female",1
"261",50,1,0,34,"Female",1
"262",19,1,0,25,"Male",1
"263",26,1,0,21,"Male",1
"264",29,1,0,32,"Male",1
"266",50,1,1,23,"Female",1
"267",25,1,1,25,"Female",1
"268",20,1,0,28,"Female",1
"269",60,1,0,22,"Male",1
"270",25,1,0,32,"Female",1
"272",65,1,0,24,"Female",1
"273",25,1,0,25,"Male",1
"274",50,1,2,36,"Male",1
"275",37,1,1,36,"Female",1
"276",5,1,1,22,"Female",1
"277",50,1,1,28,"Male",1
"278",33,1,0,27,"Male",1
"279",100,1,0,24,"Male",1
"280",50,1,1,30,"Male",1
"281",25,1,0,23,"Male",1
"282",5,1,0,22,"Female",1
"283",20,1,1,22,"Female",1
"284",26,1,0,22,"Male",1
"285",60,1,3,46,"Female",1
"286",25,1,0,41,"Female",1
"287",50,1,0,20,"Male",1
"288",25,1,0,30,"Male",1
"289",70,1,0,26,"Male",1
"290",30,1,0,28,"Male",1
"291",75,1,1,22,"Male",1
"292",100,1,0,25,"Female",1
"293",32,1,0,51,"Female",1
"294",5,1,0,22,"Male",1
"296",175,1,0,0,"Male",1
"297",100,1,0,31,"Female",1
"298",5,1,NA,23,"Male",1
"299",26,1,0,26,"Female",1
"300",150,1,0,26,"Female",1
"301",40,1,1,27,"Female",1
"302",55,1,0,24,"Female",1
"303",50,1,0,31,"Male",1
"304",50,1,0,60,"Male",1
"306",75,1,0,38,"Female",1
"307",55,1,0,25,"Male",1
"308",80,1,0,39,"Female",1
"309",40,1,3,23,"Female",1
"310",30,1,0,27,"Male",1
"311",5,1,1,24,"Male",1
"312",25,1,0,3,"Female",1
"313",25,1,0,38,"Male",1
"314",19,1,1,41,"Female",1
"315",75,1,0,23,"Male",1
"316",5,1,0,37,"Female",1
"317",100,1,0,34,"Male",1
"318",35,1,0,24,"Female",1
"319",40,1,0,22,"Female",1
"320",5,1,0,24,"Female",1
"321",5,1,0,28,"Female",1
"322",5,1,0,30,"Female",1
"323",231.69,1,0,23,"Female",1
"324",35,1,0,21,"Female",1
"325",43,1,0,23,"Male",1
"326",5,1,0,21,"Male",1
"327",25,1,0,24,"Female",1
"328",5,1,0,29,"Male",1
"329",50,1,0,23,"Male",1
"330",50,1,0,24,"Male",1
"331",44,1,0,39,"Male",1
"332",30,1,0,26,"Female",1
"333",25,1,0,27,"Male",1
"334",19,1,0,21,"Male",1
"335",37,1,0,28,"Male",1
"336",51,1,0,32,"Female",1
"337",100,1,0,26,"Male",1
"339",30,1,0,26,"Male",1
"340",50,1,3,31,"Male",1
"341",50,1,0,27,"Female",1
"342",100,1,0,0,"Female",1
"343",25,1,0,21,"Female",1
"344",5,1,0,33,"Female",1
"345",30,1,0,39,"Female",1
"346",50,1,0,29,"Male",1
"348",25,1,0,19,"Female",1
"349",30,1,0,27,"Male",1
"350",75,1,0,22,"Male",1
"352",125,1,0,0,"Female",1
"353",40,1,0,22,"Female",1
"354",52,1,0,28,"Male",1
"355",50,1,0,23,"Female",1
"356",19,1,1,19,"Female",1
"357",20,3,1,20,"Male",1
"358",20,3,0,31,"Female",1
"359",40,3,0,30,"Female",1
"360",35,1,1,19,"Male",1
"361",25,1,0,31,"Male",1
"362",51,1,0,38,"Female",1
"363",51,1,0,25,"Male",1
"364",5,1,1,23,"Male",1
"366",5,1,0,23,"Male",1
"367",25,1,0,25,"Female",1
"368",50,1,1,24,"Female",1
"369",75,1,0,29,"Female",1
"370",75,1,0,30,"Male",1
"371",33,1,1,27,"Female",1
"373",35,1,0,25,"Female",1
"374",10,1,0,34,"Male",1
"375",100,1,0,42,"Female",1
"376",40,1,0,27,"Male",1
"377",25,1,0,22,"Male",1
"378",5,1,0,24,"Female",1
"380",150,1,0,42,"Male",1
"381",37,1,1,21,"Female",1
"382",5,1,1,22,"Male",1
"383",64,1,0,39,"Female",1
"386",5,1,0,22,"Male",1
"387",30,1,0,25,"Female",1
"388",0,1,0,27,"Male",1
"390",49,1,1,23,"Female",1
"391",100,1,0,37,"Female",1
"393",5,1,0,25,"Male",1
"394",5,1,1,21,"Female",1
"395",40,1,0,28,"Male",1
"396",50,1,1,29,"Female",1
"397",125,1,0,31,"Male",1
"398",60,1,0,21,"Male",1
"399",25,1,0,31,"Male",1
"400",5,1,0,28,"Female",1
"401",150,1,0,24,"Male",1
"402",50,1,0,22,"Male",1
"404",150,1,0,4,"Male",1
"405",25,1,1,32,"Male",1
"406",250,1,0,21,"Female",1
"407",100,1,0,32,"Female",1
"408",100,1,0,23,"Female",1
"409",44,1,0,21,"Female",1
"410",175,1,0,51,"Female",1
"411",50,1,0,27,"Male",1
"412",75,1,0,43,"Male",1
"414",88,1,0,36,"Female",1
"415",50,1,0,21,"Female",1
"416",100,1,0,21,"Male",1
"418",35,1,0,33,"Male",1
"419",46,1,0,26,"Female",1
"420",10,1,0,30,"Female",1
"421",50,1,1,30,"Female",1
"422",94,1,0,36,"Male",1
"424",50,1,0,41,"Female",1
"425",35,1,0,27,"Female",1
"426",20,1,0,20,"Female",1
"428",5,1,0,22,"Female",1
"429",150,1,0,26,"Male",1
"430",100,1,0,17,"Female",1
"431",150,1,0,28,"Female",1
"432",10,1,0,31,"Male",1
"433",75,1,1,3,"Male",1
"434",50,1,0,28,"Female",1
"435",100,1,6,20,"Male",1
"436",19,1,1,29,"Male",1
"437",20,1,0,21,"Male",1
"438",150,1,1,24,"Male",1
"439",5,1,0,33,"Female",1
"440",50,1,0,29,"Male",1
"441",26,1,0,25,"Male",1
"442",50,1,1,29,"Male",1
"443",25,1,0,43,"Male",1
"444",65,1,0,22,"Female",1
"445",25,1,0,0,"Female",1
"446",60,1,0,29,"Male",1
"447",75,1,0,24,"Female",1
"448",100,1,0,53,"Female",1
"449",25,1,0,26,"Male",1
"450",50,1,0,26,"Male",1
"451",30,1,0,28,"Male",1
"452",50,1,0,29,"Male",1
"454",20,1,1,20,"Female",1
"455",65,1,0,26,"Male",1
"456",150,1,0,21,"Male",1
"457",39,1,0,19,"Female",1
"458",20,1,0,28,"Male",1
"459",25,1,0,25,"Female",1
"460",19,1,NA,23,"Female",1
"462",20,1,NA,46,"Male",1
"463",100,1,0,36,"Female",1
"464",100,1,0,29,"Male",1
"465",44,1,0,21,"Male",1
"466",35,1,0,36,"Male",1
"467",40,1,0,27,"Female",1
"468",25,1,1,28,"Male",1
"469",60,1,0,21,"Male",1
"470",50,1,0,28,"Female",1
"471",30,1,0,21,"Male",1
"472",19,1,0,33,"Male",1
"474",50,1,1,22,"Male",1
"475",50,1,0,3,"Male",1
"476",150,1,0,39,"Female",1
"477",120,1,0,28,"Male",1
"479",65,1,0,2,"Female",1
"480",25,3,0,29,"Female",1
"481",50,1,0,53,"Female",1
"482",25,1,0,20,"Female",1
"483",25,1,1,30,"Female",1
"484",25,1,3,26,"Male",1
"485",100,1,0,28,"Male",1
"486",20,1,0,19,"Female",1
"487",75,1,0,21,"Female",1
"488",75,1,0,22,"Male",1
"489",65,1,0,28,"Female",1
"490",19,3,0,26,"Male",1
"491",75,3,0,33,"Male",1
"492",25,1,0,21,"Male",1
"493",19,1,0,19,"Female",1
"494",25,3,0,56,"Female",1
"495",26,3,0,27,"Female",1
"496",25,3,0,21,"Male",1
"497",50,3,0,24,"Female",1
"498",0,1,0,24,"Male",1
"499",25,1,0,25,"Male",1
"500",150,1,0,0,"Male",1
"501",150,1,0,44,"Female",1
"502",38,1,0,36,"Male",1
"503",175,4,0,29,"Female",1
"504",50,1,0,25,"Male",1
"505",55,1,0,21,"Male",1
"506",15,1,0,47,"Female",1
"507",75,1,0,34,"Male",1
"508",71,1,0,0,"Female",1
"509",75,1,0,37,"Male",1
"510",5,1,0,22,"Female",1
"511",5,1,0,23,"Male",1
"512",50,1,3,26,"Female",1
"513",50,1,0,31,"Male",1
"515",11,1,0,38,"Male",1
"516",50,1,0,25,"Female",1
"517",19,1,1,27,"Female",1
"518",50,5,0,24,"Female",1
"519",50,1,0,21,"Male",1
"520",20,1,0,26,"Female",1
"521",35,1,0,28,"Male",1
"522",50,1,0,32,"Male",1
"523",200,1,2,3,"Female",1
"524",75,1,1,41,"Male",1
"525",30,1,NA,3,"Female",1
"527",25,1,0,23,"Female",1
"528",50,1,0,24,"Female",1
"529",50,1,1,33,"Male",1
"530",25,1,0,35,"Male",1
"531",44,1,0,30,"Female",1
"532",30,1,0,24,"Female",1
"533",35,1,NA,24,"Female",1
"534",50,1,0,20,"Female",1
"535",40,1,0,45,"Male",1
"536",50,1,0,29,"Male",1
"537",25,1,0,19,"Female",1
"538",25,1,0,24,"Female",1
"539",100,1,0,38,"Male",1
"540",50,1,0,31,"Male",1
"541",150,1,0,21,"Female",1
"542",100,1,0,40,"Female",1
"543",150,3,0,27,"Male",1
"544",100,1,0,31,"Female",1
"548",30,1,0,27,"Female",1
"549",20,1,0,36,"Male",1
"550",5,1,0,30,"Male",1
"551",50,1,0,27,"Female",1
"552",50,1,0,38,"Male",1
"553",39,1,0,33,"Female",1
"554",20,1,0,39,"Female",1
"555",20,5,2,39,"Male",1
"556",19,1,1,23,"Male",1
"557",5,1,0,31,"Female",1
"558",160,1,0,31,"Female",1
"559",100,1,0,36,"Male",1
"560",80,1,0,34,"Female",1
"561",150,1,0,25,"Male",1
"562",100,1,1,36,"Male",1
"564",150,1,0,26,"Female",1
"565",50,1,0,23,"Female",1
"567",75,1,0,27,"Female",1
"568",5,1,0,23,"Male",1
"569",40,1,0,26,"Male",1
"570",125,1,0,33,"Female",1
"571",33,1,0,25,"Female",1
"572",75,1,0,35,"Female",1
"573",30,1,0,32,"Female",1
"574",5,1,0,33,"Male",1
"575",25,1,0,22,"Female",1
"576",35,1,0,23,"Male",1
"577",116,1,0,30,"Male",1
"578",175,1,0,43,"Female",1
"579",37,1,0,41,"Female",1
"581",75,1,0,35,"Female",1
"582",25,1,0,24,"Male",1
"583",40,1,0,28,"Male",1
"584",75,1,0,31,"Female",1
"585",60,1,1,26,"Female",1
"586",25,1,0,21,"Male",1
"587",50,1,0,24,"Male",1
"588",134,1,0,24,"Male",1
"589",75,1,0,23,"Female",1
"590",35,1,0,22,"Male",1
"591",50,1,3,33,"Male",1
"592",30,1,1,28,"Female",1
"593",50,1,0,35,"Female",1
"594",50,1,0,24,"Male",1
"595",50,1,0,25,"Male",1
"596",30,1,0,20,"Female",1
"597",0,1,1,22,"Male",1
"598",40,1,0,24,"Female",1
"599",40,1,0,29,"Female",1
"601",100,1,NA,23,"Male",1
"602",35,1,0,35,"Male",1
"603",5,1,0,32,"Female",1
"604",26,1,0,23,"Female",1
"606",50,1,0,26,"Male",1
"607",26,1,0,35,"Male",1
"608",26,1,0,0,"Male",1
"609",60,1,0,34,"Female",1
"610",5,1,0,31,"Male",1
"611",51,1,3,32,"Male",1
"612",35,1,1,22,"Female",1
"614",40,1,0,22,"Male",1
"615",50,1,0,29,"Female",1
"616",40,1,0,34,"Female",1
"617",5,1,0,26,"Male",1
"618",100,1,0,23,"Female",1
"619",29,1,0,39,"Female",1
"620",50,1,1,24,"Male",1
"621",40,1,0,25,"Male",1
"622",50,1,1,25,"Female",1
"623",100,1,0,0,"Female",1
"624",51,1,0,29,"Female",1
"625",75,1,0,28,"Male",1
"626",100,1,0,26,"Male",1
"627",25,1,0,21,"Male",1
"628",20,1,0,22,"Female",1
"630",5,1,3,20,"Female",1
"631",20,1,0,40,"Male",1
"632",19,1,0,30,"Male",1
"633",5,1,0,28,"Female",1
"634",51,1,0,32,"Male",1
"635",25,1,0,30,"Male",1
"636",19,1,0,27,"Female",1
"637",25,1,1,38,"Female",1
"638",20,1,1,35,"Female",1
"639",75,1,0,24,"Female",1
"640",50,1,0,27,"Male",1
"641",33,1,0,19,"Female",1
"642",50,1,0,24,"Female",1
"643",40,1,0,23,"Male",1
"644",50,1,NA,25,"Male",1
"645",35,1,0,22,"Female",1
"646",25,1,0,58,"Male",1
"647",150,1,0,29,"Female",1
"648",25,1,0,22,"Male",1
"649",39,1,0,21,"Male",1
"650",50,1,0,27,"Female",1
"652",5,1,0,21,"Female",1
"653",34,1,0,39,"Male",1
"654",25,1,0,30,"Male",1
"655",100,1,1,26,"Female",1
"656",150,1,0,47,"Female",1
"657",50,1,0,32,"Male",1
"658",35,1,0,21,"Male",1
"659",20,1,0,26,"Male",1
"660",19,1,0,42,"Female",1
"661",20,1,0,30,"Female",1
"662",50,1,0,36,"Female",1
"663",20,3,0,36,"Female",1
"664",5,1,0,25,"Female",1
"665",50,1,0,23,"Male",1
"666",25,1,1,37,"Male",1
"667",75,1,0,27,"Male",1
"668",37,1,0,21,"Male",1
"669",5,1,0,20,"Male",1
"671",50,1,0,35,"Male",1
"672",60,1,0,27,"Male",1
"673",150,1,0,30,"Male",1
"674",150,1,0,31,"Male",1
"675",50,1,0,0,"Male",1
"677",150,1,0,0,"Female",1
"678",100,1,0,22,"Female",1
"679",50,1,0,24,"Female",1
"680",71,1,2,4,"Female",1
"681",100,1,0,31,"Male",1
"682",40,1,0,36,"Male",1
"683",50,1,0,36,"Female",1
"684",50,1,0,34,"Male",1
"685",35,1,0,33,"Male",1
"686",100,1,0,30,"Male",1
"687",20,1,0,22,"Female",1
"688",20,1,0,32,"Male",1
"689",25,1,3,26,"Male",1
"690",40,1,1,22,"Female",1
"691",227.37,1,0,30,"Male",1
"692",150,1,0,38,"Female",1
"694",40,1,5,22,"Female",1
"695",25,1,0,26,"Male",1
"697",10,1,0,21,"Female",1
"698",5,1,0,32,"Female",1
"699",65,1,0,22,"Male",1
"700",40,1,0,23,"Male",1
"701",50,1,0,24,"Female",1
"702",100,1,0,30,"Female",1
"704",50,1,0,21,"Female",1
"705",25,1,0,0,"Female",1
"706",35,1,0,22,"Male",1
"707",50,1,0,27,"Male",1
"708",100,1,1,3,"Male",1
"709",100,1,0,29,"Male",1
"710",60,1,0,23,"Male",1
"711",20,1,0,22,"Female",1
"712",45,1,0,26,"Female",1
"713",45,1,0,26,"Female",1
"714",5,1,1,27,"Female",1
"715",75,1,0,24,"Female",1
"716",5,1,0,33,"Male",1
"717",40,1,0,31,"Male",1
"718",19,1,0,23,"Male",1
"719",75,1,0,21,"Female",1
"720",75,1,1,23,"Female",1
"721",5,1,0,30,"Male",1
"722",50,1,0,22,"Male",1
"723",75,1,0,22,"Female",1
"724",19,1,0,25,"Male",1
"725",1,1,0,15,"Female",1
"729",44,1,0,22,"Female",1
"730",5,1,0,33,"Female",1
"731",25,1,0,22,"Female",1
"732",50,1,0,22,"Female",1
"733",100,1,0,0,"Female",1
"734",50,1,0,32,"Male",1
"735",25,1,0,24,"Female",1
"737",40,1,0,33,"Female",1
"738",30,1,0,28,"Female",1
"739",26,1,1,21,"Female",1
"740",50,1,1,23,"Female",1
"742",20,1,2,22,"Male",1
"743",44,1,0,33,"Female",1
"744",50,1,0,29,"Male",1
"745",50,1,0,23,"Male",1
"746",60,1,1,3,"Female",1
"747",28,1,0,24,"Female",1
"748",30,1,0,20,"Male",1
"750",5,1,1,22,"Male",1
"753",25,1,0,21,"Female",1
"754",50,1,0,37,"Male",1
"755",100,1,0,29,"Male",1
"756",75,1,0,30,"Female",1
"757",26,1,0,22,"Male",1
"758",25,1,0,23,"Female",1
"759",100,1,0,22,"Female",1
"760",33,1,0,32,"Male",1
"761",100,1,0,30,"Male",1
"762",50,1,0,26,"Female",1
"763",25,1,0,35,"Female",1
"764",35,1,0,22,"Male",1
"765",35,1,0,25,"Male",1
"766",75,1,0,21,"Male",1
"767",250,1,2,21,"Male",1
"768",250,1,0,25,"Female",1
"769",39,1,0,20,"Male",1
"770",75,1,0,35,"Male",1
"771",35,1,NA,39,"Male",1
"773",100,1,0,23,"Male",1
"774",50,1,0,25,"Female",1
"775",50,1,0,23,"Female",1
"776",100,1,0,24,"Male",1
"777",25,1,0,22,"Male",1
"778",1,1,0,0,"Female",1
"779",150,1,0,31,"Male",1
"780",100,1,0,44,"Female",1
"781",25,1,0,23,"Female",1
"782",25,1,0,0,"Male",1
"783",39,1,0,35,"Female",1
"784",5,1,0,21,"Male",1
"785",30,1,0,22,"Female",1
"786",50,1,0,41,"Male",1
"787",64,1,0,24,"Female",1
"788",20,1,1,34,"Male",1
"789",20,1,NA,22,"Male",1
"791",50,1,1,23,"Female",1
"792",50,1,0,21,"Female",1
"793",25,1,0,33,"Female",1
"794",5,1,0,38,"Female",1
"795",1,1,1,4,"Female",1
"796",5,1,3,23,"Female",1
"797",26,1,0,22,"Male",1
"798",50,1,1,24,"Female",1
"799",50,1,1,23,"Male",1
"800",19,1,1,21,"Male",1
"801",20,1,0,25,"Male",1
"802",50,1,0,31,"Male",1
"803",60,1,0,30,"Male",1
"805",30,1,0,23,"Female",1
"806",5,1,0,30,"Male",1
"807",5,1,0,28,"Male",1
"808",28,1,3,31,"Male",1
"809",50,1,1,30,"Male",1
"810",200,1,0,32,"Female",1
"811",50,1,0,25,"Female",1
"812",40,1,0,29,"Male",1
"813",50,1,0,21,"Female",1
"814",50,1,0,24,"Female",1
"815",100,1,0,3,"Male",1
"816",50,1,0,22,"Female",1
"817",50,1,1,21,"Male",1
"818",20,1,0,28,"Male",1
"819",1,1,3,35,"Female",1
"820",1,1,NA,22,"Female",1
"821",50,1,0,21,"Male",1
"822",20,1,0,27,"Female",1
"823",19,1,0,30,"Male",1
"824",10,1,0,30,"Male",1
"825",50,1,1,26,"Female",1
"826",20,1,1,21,"Female",1
"827",25,1,1,24,"Female",1
"828",5,1,0,46,"Male",1
"829",50,1,0,45,"Male",1
"831",100,1,0,24,"Female",1
"833",10,1,0,26,"Male",1
"834",25,1,0,23,"Female",1
"835",40,1,0,32,"Female",1
"837",50,1,0,34,"Female",1
"839",50,1,0,26,"Female",1
"840",5,1,0,22,"Male",1
"841",100,1,0,44,"Male",1
"842",34,1,0,29,"Male",1
"843",5,1,0,22,"Male",1
"844",26,1,0,24,"Male",1
"845",5,1,0,20,"Female",1
"846",44,1,0,0,"Female",1
"847",27,3,0,32,"Female",1
"849",80,1,0,23,"Male",1
"850",10,1,0,0,"Male",1
"851",25,1,0,40,"Male",1
"852",25,1,0,29,"Female",1
"853",46,1,0,27,"Male",1
"854",100,1,0,26,"Male",1
"856",40,1,1,34,"Male",1
"857",44,1,1,3,"Female",1
"858",50,1,1,34,"Male",1
"859",25,1,1,21,"Female",1
"860",100,1,0,33,"Male",1
"861",100,1,0,32,"Male",1
"862",75,1,0,26,"Female",1
"864",75,1,0,26,"Female",1
"865",50,1,0,32,"Male",1
"866",5,1,0,22,"Male",1
"868",100,1,0,32,"Male",1
"869",1,1,1,27,"Female",1
"870",200,1,0,24,"Female",1
"871",50,1,0,28,"Female",1
"872",30,1,1,39,"Female",1
"873",39,1,0,55,"Male",1
"874",200,1,0,24,"Female",1
"875",30,1,1,20,"Male",1
"876",100,1,1,27,"Male",1
"877",19,1,0,20,"Male",1
"878",30,1,0,22,"Female",1
"879",5,1,0,31,"Female",1
"880",0,1,0,25,"Male",1
"881",60,1,0,23,"Female",1
"882",5,1,0,21,"Male",1
"883",19,1,0,20,"Male",1
"884",50,1,0,21,"Male",1
"885",19,1,NA,34,"Female",1
"886",100,1,0,25,"Male",1
"887",1,1,1,4,"Female",1
"888",20,1,0,26,"Female",1
"889",25,1,1,22,"Male",1
"890",69,1,3,31,"Male",1
"891",200,1,3,20,"Male",1
"892",125,1,1,21,"Male",1
"893",150,1,0,40,"Male",1
"894",55,1,0,51,"Female",1
"895",35,1,0,24,"Male",1
"896",150,1,0,26,"Male",1
"897",35,1,0,21,"Female",1
